id,created_at,updated_at,product_code,title,description,model_size,model_height,fabric_stretch,fabric_material,main_fiber_content,care_advice,care_instructions,price,markdown
191,2019-07-26 17:10:54.866418,2019-07-26 17:10:54.866418,1472252,Stradivarius tailored pants in yellow,,Model wears: UK 8/ EU 36/ US 4,Model's height:  170cm/5'7,"",Ribbed jersey,"",Main: 50% Polyester  46% Cotton  4% Spandex.,46% Cotton  4% Spandex.,30.0,0.0
192,2019-07-26 17:10:54.870401,2019-07-26 17:10:54.870401,1456559,ASOS DESIGN Tall top with broidery sleeve,,Model wears: UK 8/ EU 36/ US 4,Model's height: 178cm/5'10,Everyday T-shirt fabric,Everyday T-shirt fabricBasic in the best way,"",20% Viscose.,"",23.0,0.0
193,2019-07-26 17:10:54.873987,2019-07-26 17:10:54.873987,1425172,Bershka striped jumpsuit in white,,Model wears: UK 8/ EU 36/ US 4,Model's height: 178cm/5'10,"","",Main: 68% Cotton,"","",26.0,0.0
195,2019-07-26 17:10:54.881097,2019-07-26 17:10:54.881097,1400330,Peek & Beau Curve Exclusive Eco cut out swimsuit in contrast stripe,,Model wears: UK 18/ EU 46/ US 14,Model's height: 170cm/5'7,Stretchy swim fabric,Stretchy swim fabricBest paired with pools,"",23% Spandex  Main: 95% Polyester  5% Spandex.,Main: 95% Polyester  5% Spandex.,54.0,0.0
196,2019-07-26 17:10:54.884434,2019-07-26 17:10:54.884434,1416202,ASOS DESIGN spray on leather look pants,,Model wears: UK 8/ EU 36/ US 4,Model's height: 173cm/5'8,"","","","","",40.0,0.0
197,2019-07-26 17:10:54.888186,2019-07-26 17:10:54.888186,1485940,Paper Dolls Tall 2 in 1 lace jumpsuit in blue,,Model wears: UK S/ EU S/ US XS,Model's height:  170cm/5'7,"Textured, linen-mix fabric",Textured,Body: 100% Polyester.,Main: 76% Viscose  24% Linen.,24% Linen.,108.0,0.0
183,2019-07-26 17:10:54.837828,2019-09-10 22:39:55.03523,1419957,Wild Honey tie front hawaiian shirt,"Yeah, we like this one, too",Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Lightweight woven fabric,Body: 100% Polyester.  ,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,45.0,0.0
169,2019-07-26 17:10:54.785921,2019-09-10 22:39:54.975607,1392867,Emory Park ribbed cami dress with flower straps,For your daytime thing,Model wears: UK S/ EU S/ US XS,Model's height: 170cm/5'7,"",Stretch cotton,Body: 95% Cotton  5% Spandex. ,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,29.9,0.0
189,2019-07-26 17:10:54.859503,2019-09-10 22:39:54.514692,1467051,Simply Be bandeau bikini top with removeable halterneck in black,Just add water,"","","",Stretchy swim fabric. Goes great with your vacation.,Main: 95% Polyester,"","The label may be small, but it's important. Machine wash according to instructions on care label.",45.0,0.0
175,2019-07-26 17:10:54.808754,2019-09-10 22:39:54.574745,1467051,Simply Be bandeau bikini top with removeable halterneck in black,Just add water,"","","",Stretchy swim fabric. Goes great with your vacation.,Main: 100% Viscose.,"",Just here for the care instructions? We've got you covered. Machine wash according to instructions on care label.,45.0,0.0
